,CD3,CD4,CD8a,CD11b,CD14,CD15,CD16,CD19,CD20,CD25,CD27,CD28,CD34,CD45RA,CD45RO,CD56,CD62L,CD69,CD80,CD86,CD127,CD137,CD197,CD274,CD278,CD335,PD-1,HLA-DR,TIGIT
STAT1,0.09976174989871062,0.034350611307434505,-0.010739186618138491,0.028435400389986043,0.009000423036242386,0.026427474919442234,0.002063001059213645,0.011140030728198861,0.031100652976563052,0.023334800292839273,0.09262634102008908,0.058517154017583034,-0.006325750758414879,0.012341479133845588,0.03732126965267247,-0.09437582708261008,0.024278555375217562,0.0672329725613969,0.008766303477503823,0.008371908393608908,0.07048763436275132,0.01709671421582024,0.022801031188079638,0.016919777535588383,0.054860746475820045,0.009135238465662098,0.004367071638554219,0.016359833931689452,-0.07261605073393448
EBF1,-0.16340899600093836,-0.12600519626158257,-0.06172370606169407,-0.06013361436881728,-0.01401130113905501,-0.03323099494382141,-0.06511095510738328,-0.03134537306553059,0.0056707757955259145,-0.01987075031835432,0.23445091195345702,0.04354917459037755,-0.012156296897324524,-0.12337395968517298,-0.049343833596639936,-0.0513423156126021,-0.01333790615321092,-0.008604086760505553,-0.03611476123536275,-0.009942433641924271,0.02652121944132071,-0.018238037873371596,-0.024806235543092334,-0.027368211489311543,-0.10991250829998857,-0.055897389548557636,0.13864497302512896,-0.027267150608170164,-0.07442099922814929
RBPJ,-0.01339680954084547,0.05546960801428388,0.05714114771181645,-0.009047889938972643,0.0051489061492692315,0.010899117143430273,0.026442384449477243,0.014294484478629023,0.04661312988041777,0.013839544918353269,0.17097911172406288,0.10118074629187254,0.004926790546951508,0.07395410432363267,-0.029358802502355945,0.05658059131090518,0.0506984960246623,-0.02749311360616262,0.018485693977738884,0.0002025155839560185,0.1354714272063169,0.002041403925639313,0.019205903267240636,0.019257784857141705,-0.008597229046563539,0.030330385393587178,0.04316456674210828,-0.011916765837464767,0.09842711960721989
IRF4,0.01991641927246879,-0.039013270764037204,-0.035490348445168046,0.0018406993771061936,-0.001559381352695611,-0.0010971391328770282,-0.019940899969230638,-0.009353023272787649,-0.022712129498665367,-0.003905069210507947,-0.048946194898627365,-0.048170774358898966,-0.009072283480759592,-0.05511070459631733,0.0367468903522874,-0.10954780738660333,-0.020880809497724823,0.038531315128693865,-0.014807443127523613,0.004232329157568948,-0.09457435237628165,0.017844235501273144,-0.00791343663025667,-0.015137534876880633,0.018061321414446045,-0.02124489754517651,-0.04420918705721422,0.020891495816507913,-0.027508636510756468
TCF12,0.03690537531621059,0.00475997759738393,-0.02863253010543847,-0.024902187217579176,-0.0013992089379275294,-0.0008000906642396317,-0.012397067326023728,0.0009948033582696102,-0.01422023115900133,-0.012331128107129384,-0.20170979071655223,-0.007490251860310494,0.01051821262325561,0.0011818628551429568,0.027922508155488114,-0.004322994614529509,-0.048100531848391644,0.012841357614972746,-0.004755729265653838,-0.0022168781447173954,-0.053132592306133104,-0.015494162570980062,-0.015971943445555227,0.006326503153201806,0.02153730541661135,-0.008244341527212477,0.04450350247217196,0.004667948538093027,-0.0036602865930989497
TBX21,0.018995310091938975,-0.08505983218330193,-0.06920879985948869,-0.014696234520015283,-0.005707786689596953,-0.010191560219871755,-0.026050473007774307,-0.014636579475750122,-0.046058333334899774,-0.019036137575140544,-0.20123420276206766,-0.09678938243578894,0.004258414201466204,-0.02820538067029292,0.009977953624665139,-0.05483794621312179,-0.05784243929107099,0.028325382967839867,-0.020893054269168897,-0.0010385377094354106,-0.1616355368775824,-0.0005791649476620252,-0.025722810955071517,-0.01745675959552299,-0.011786368855468392,-0.025393805551299626,-0.038238152138432915,0.01555797000178511,-0.008783641615004103
TCF7L2,-0.21346029417989457,-0.12369825751426758,-0.18156995073170581,-0.07739650285340222,-0.022298910464493484,-0.05366602194770529,-0.07337993867409517,-0.04125013562232974,-0.03731228737515461,-0.03571435407236741,-0.03590981415463684,-0.01223487023099218,-0.011880106649388746,-0.14471420507712796,-0.07631112013271377,-0.08761738533208906,-0.053394356022707284,-0.04632413108102431,-0.04764021208013978,-0.017651191318301056,-0.05229834849758702,-0.050476511492306135,-0.05505396144482488,-0.04704693486248954,-0.14159034051430477,-0.07085443186752591,-0.03923178673079655,-0.0308945667041197,-0.1551051839978537
FOXP1,-0.0711400076453293,-0.055171002506020396,-0.15424475214207206,-0.05029833432441543,-0.0126838522376734,-0.027201614771399905,-0.036920796069672746,-0.021500831549193238,-0.0556992137245914,-0.02966055394784775,-0.28695272438819275,-0.0785368415019603,0.0022519213608902526,-0.03863380308769961,-0.030304164007854458,-0.11803831419025415,-0.06757652947429961,-0.005089245516564879,-0.03102035431742373,-0.007835246020301048,-0.1610815258558696,-0.02417477401478572,-0.04618402258298943,-0.029299746891407477,-0.04715687503886666,-0.03739003845147834,-0.11978303170735517,0.006334648257270844,-0.033853630797889084
SATB1,-0.009604145385143136,-0.038589443945102435,0.1700958236095848,-0.013122036437410162,0.0015692091110590138,-0.0002640764729864082,0.007847233120064983,0.00602690295325886,0.026742779154969268,0.002303509494136429,0.050954439154007436,0.042347194745004244,0.0070471741923522875,0.036425484913134284,-0.015339755218302354,0.06626913886037607,0.007054700855637519,-0.021906734739464438,0.0047788095990083275,-0.0017424644956299574,0.052712719574622424,-0.011082022999128388,0.00407372872311885,0.010687817078683362,-0.016408026460561075,0.011189009022696783,0.04291697704221645,-0.01047871315794176,0.06101120968797169
ESR1,-0.17962949167802586,-0.021840077028108064,-0.0712994753919932,-0.05535802244655875,-0.015322563802820295,-0.04060163943239309,-0.03957886880124651,-0.022575700440430075,-0.02297875477698841,-0.02034566112958637,-0.10830820997528273,0.014347161727322472,-0.015833703652949466,-0.10880785845922178,-0.0438964296912601,-0.1214459825626702,-0.029386929250597906,-0.060238233733958056,-0.02967725090891968,-0.012344863762795096,-0.01446122993290012,-0.044781523103528384,-0.04022440033680224,-0.03531046013878161,-0.07469448551691392,-0.044708176205418275,-0.15305192509885265,-0.01899448763433904,-0.13381132842681914
RELA,0.11662009726037889,-0.054629242318029146,-0.09123638061775652,0.027595952061744932,0.0038634452472264356,0.015842852941189613,-0.003347048134050895,-0.0025678631800143716,-0.024498779158978554,0.006645070705851389,-0.10221901091263957,-0.06803540928756464,-0.001668361675796668,0.009832059311739024,0.032226285884281426,-0.09699186339799422,-0.016263296568635552,0.06662602832681515,-0.005015460125886105,0.00785800866142152,-0.10711603968894315,0.025444624580031664,0.001027457114557369,-0.006311910889026372,0.026536470994250674,-0.001942299493460432,-0.11509226819464863,0.03269721371465844,-0.02532711129610574
MITF,0.029774987068699115,0.03710416256056623,-0.019355312593335193,-0.004272077356865171,0.0023576986345843673,0.005270039298800521,0.014704964234599624,0.005042670088989689,-0.005719862582644388,0.0042040627643025325,-0.06733892527027667,0.015152517237969633,-0.0062497838626370365,-0.016011960453505863,0.05235390697453019,-0.02988006340603082,0.005359837811019451,-0.018880353256242315,0.005953200115563215,0.004022380863308122,-0.02049477385482023,0.016242187843988704,0.0013069698821382455,-0.004967369869561654,0.028616144382692436,0.00794595102147875,-0.10590068037805925,0.01644357418327325,0.05740176405562319
ONECUT1,-0.18123166576042488,-0.10087325752444723,-0.0675865371038396,-0.07754790209134803,-0.01674446389023321,-0.04074375180689955,-0.061923164907851845,-0.028917854803187357,-0.006471610595088045,-0.02436420792005427,-0.0017545934954410005,0.04084014052880425,-0.008453432273441528,-0.09377104624236599,-0.07357806282707839,-0.11538904304042015,-0.036977735184532255,-0.030179738889348804,-0.03927729582500571,-0.01439207497001065,0.00350612577552116,-0.048793279789791526,-0.0431439521162899,-0.03023084988877637,-0.11338772541970316,-0.05474084459870946,-0.026789788353571008,-0.02617364461228777,-0.11851835314825514
LEF1,0.16957255475682942,0.11042727256966539,0.0856769206245793,0.050393624498402324,0.015297625179655584,0.035450742835534683,0.06109497767735964,0.032319100431004534,0.01762104003956745,0.022527602049952987,-0.08706817930519598,0.020429407426900213,0.011081138219617636,0.08753235532572373,0.07945738140409343,0.13926845641996374,0.023968034628464384,-0.0053197181155251886,0.04136983631962269,0.009388648659484572,0.04960834026022093,0.02103885358052652,0.033840922671082733,0.03443103463019346,0.10021955449326196,0.0551425066048508,-0.008985993361941709,0.01539588938159905,0.09115106212748082
MAFF,-0.06382356278168817,0.10379464068301346,0.02397324251673667,-0.018706419073721933,-0.0001701199939847599,-0.007890970463995258,0.03827342624252525,0.01029392938834322,0.006617713933486039,-0.0008079530842241137,0.004262014226943664,0.05893409087897528,-0.002569396138162676,-0.007144877783765191,0.02522859590478464,0.13311664022878372,0.03057436532987942,-0.11072874841519106,0.020511585066662823,-0.0030794757993988526,0.07002499189267963,-0.0007462128161160321,0.004018691400675509,-0.0009639235891965195,-0.0014532174144313136,0.02432118125483671,-0.05007327712506621,-0.014040111930057834,0.1293963207418891
